City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,sianow,54.2265,16.2913,7.01,88,100,2.13,PL,1731463905
286,goondiwindi,-28.55,150.3167,32.16,35,80,5.55,AU,1731463906
287,tshabong,-26.05,22.45,21.76,16,0,1.77,BW,1731463909
288,lubang,13.8584,120.124,27.72,78,71,1.26,PH,1731463911
289,celestun,20.8667,-90.4,25.67,82,41,2.83,MX,1731463912
290,onega,63.9061,38.1404,0.07,89,99,4.01,RU,1731463913
291,steinkjer,64.193,11.3851,10.47,83,100,7.46,NO,1731463914
292,phek,25.6667,94.5,15.39,85,19,0.74,IN,1731463916
293,bashmakovo,53.2133,43.0342,-1.69,82,40,3.58,RU,1731463917
294,hasaki,35.7333,140.8333,18.29,58,0,9.95,JP,1731463918
295,acapulco de juarez,16.8634,-99.8901,28.9,84,40,1.54,MX,1731463672
296,juan griego,11.0817,-63.9655,25.89,85,24,3.73,VE,1731463921
297,kongsberg,59.6652,9.6465,4.98,81,9,1.34,NO,1731463922
298,sao joao da barra,-21.6403,-41.0511,23.94,92,23,2.46,BR,1731463665
299,nuku'alofa,-21.1333,-175.2,25.19,94,75,5.66,TO,1731463924
300,pauini,-7.7136,-66.9764,23.1,96,100,1.34,BR,1731463925
301,mitrofanovka,49.9708,39.6939,-1.81,84,30,1.73,RU,1731463926
302,san ignacio de velasco,-16.3667,-60.95,18.95,66,93,4.82,BO,1731463927
303,katabu,-4.9333,122.5167,32.14,52,10,2.07,ID,1731463929
304,new norfolk,-42.7826,147.0587,15.95,95,100,0.74,AU,1731463930
305,belokurikha,51.9959,84.9896,-11.09,88,90,1.58,RU,1731463931
306,sola,-13.8833,167.55,27.44,80,100,7.93,VU,1731463932
307,swakopmund,-22.6833,14.5333,13.88,87,38,1.34,NA,1731463882
308,luancheng,37.8792,114.6517,11.92,92,100,1.88,CN,1731463934
309,aasiaat,68.7098,-52.8699,-7.14,76,100,7.8,GL,1731463935
310,kingston,17.997,-76.7936,26.53,89,75,4.12,JM,1731463936
311,narayanpet,16.7333,77.5,22.76,65,90,3.88,IN,1731463938
312,timbuktu,16.7735,-3.0074,24.72,17,65,4.0,ML,1731463894
313,lerwick,60.1545,-1.1494,10.67,89,98,7.68,GB,1731463940
314,princeville,45.7668,-61.2985,8.63,99,100,8.23,CA,1731463941
315,paulinia,-22.7611,-47.1542,22.57,78,100,5.65,BR,1731463942
316,homer,59.6425,-151.5483,-0.07,62,40,0.0,US,1731463688
317,touros,-5.1989,-35.4608,25.69,80,6,4.9,BR,1731463944
318,nova sintra,14.8667,-24.7167,26.41,68,10,6.27,CV,1731463946
319,manglaur,29.8,77.8667,17.97,59,0,1.52,IN,1731463947
320,mbandaka,0.0487,18.2603,21.95,93,100,1.01,CD,1731463948
321,lucas,41.6501,-83.6666,4.98,75,0,1.54,US,1731463949
322,gamba,-2.65,10.0,25.25,90,100,3.67,GA,1731463950
323,tamanrasset,22.785,5.5228,15.24,26,100,1.83,DZ,1731463951
324,gisborne,-38.6533,178.0042,17.63,63,68,6.85,NZ,1731463803
325,murgab,37.4966,61.9714,7.93,87,100,5.14,TM,1731463953
326,burgersdorp,-30.9977,26.3286,13.26,77,2,3.72,ZA,1731463955
327,sao miguel do araguaia,-13.275,-50.1628,23.64,89,71,1.67,BR,1731463956
328,gejiu,23.306,103.1635,15.08,86,51,1.9,CN,1731463847
329,zheleznodorozhnyy,55.7503,38.0042,0.75,86,90,2.21,RU,1731463958
330,mount pearl,47.5166,-52.7813,13.18,98,100,6.17,CA,1731463959
331,six-fours-les-plages,43.0938,5.84,14.73,63,96,4.02,FR,1731463960
332,coyhaique,-45.5752,-72.0662,7.74,99,88,4.17,CL,1731463962
333,rawson,-43.3002,-65.1023,19.16,37,0,5.14,AR,1731463804
334,orange cove,36.6244,-119.3137,11.46,90,0,0.0,US,1731463964
335,kalifornsky,60.4183,-151.29,-4.83,93,40,0.0,US,1731463965
336,magadan,59.5667,150.8,-13.04,69,100,4.38,RU,1731463966
337,belmonte,-15.8631,-38.8828,25.16,88,10,4.98,BR,1731463967
338,sanming,26.2486,117.6186,23.49,72,100,1.41,CN,1731463969
339,le port,-20.9373,55.2919,22.98,74,21,1.45,RE,1731463956
340,port moresby,-9.4431,147.1797,27.3,80,100,3.32,PG,1731463971
341,tanout,14.9709,8.8879,22.87,21,0,4.6,NE,1731463972
342,oodweyne,9.4092,45.064,19.82,32,0,4.87,SO,1731463973
343,kanniyakumari,8.0833,77.5667,27.32,73,8,2.64,IN,1731463974
344,thunder bay,48.4001,-89.3168,4.04,72,0,4.47,CA,1731463934
345,mulchen,-37.7167,-72.2333,11.57,73,3,3.82,CL,1731463976
346,ankazoabo,-22.2833,44.5167,24.91,58,57,2.49,MG,1731463978
347,gizo,-8.103,156.8419,28.36,74,100,0.91,SB,1731463979
348,dolores,-36.3132,-57.6792,11.44,69,11,4.08,AR,1731463960
349,antofagasta,-23.65,-70.4,17.6,81,50,1.15,CL,1731463911
350,brazzaville,-4.2658,15.2832,22.91,92,72,0.95,CG,1731463982
351,cidreira,-30.1811,-50.2056,16.77,65,66,2.75,BR,1731463983
352,agadez,19.75,10.25,19.54,25,0,2.45,NE,1731463984
353,mezhdurechenskiy,59.6,65.9333,-13.89,93,45,2.52,RU,1731463985
354,kapuskasing,49.4169,-82.4331,-1.58,89,21,2.71,CA,1731463922
355,jaisalmer,26.9147,70.9181,23.38,33,0,0.74,IN,1731463988
356,balnearia,-31.0088,-62.6673,20.27,40,3,3.82,AR,1731463989
357,alto barinas,8.5931,-70.2261,23.19,94,99,2.08,VE,1731463990
358,borogontsy,62.6683,131.1683,-21.17,96,79,2.57,RU,1731463991
359,minas de marcona,-15.2119,-75.1103,14.59,75,28,2.53,PE,1731463992
360,ar ruways,24.1103,52.7306,24.66,73,0,2.28,AE,1731463993
361,san sebastian de la gomera,28.0916,-17.1133,21.2,64,20,2.57,ES,1731463994
362,quixeramobim,-5.1992,-39.2928,26.01,59,14,3.11,BR,1731463762
363,grand falls-windsor,48.9332,-55.6649,7.5,89,100,1.79,CA,1731463717
364,san luis de la loma,17.2706,-100.8939,26.25,84,98,1.32,MX,1731463998
365,qusar,41.4273,48.4289,3.08,99,99,2.12,AZ,1731463999
366,yeppoon,-23.1333,150.7333,27.86,63,100,7.69,AU,1731464000
367,freetown,8.484,-13.2299,25.53,84,97,1.93,SL,1731464001
368,punaauia,-17.6333,-149.6,28.8,61,100,3.09,PF,1731464003
369,sidrolandia,-20.9319,-54.9614,20.66,55,92,6.23,BR,1731464005
370,koulikoro,14.0,-7.75,23.26,26,100,1.52,ML,1731464006
371,mayahi,13.9553,7.6712,23.96,23,0,3.98,NE,1731464007
372,pirapora,-17.345,-44.9419,25.62,62,83,0.85,BR,1731463812
373,ed damer,17.5928,33.9592,24.77,64,1,5.0,SD,1731463925
374,malango,-2.9627,119.9001,27.69,59,76,1.74,ID,1731464010
375,polyarnyy,69.1989,33.4478,1.22,89,100,7.69,RU,1731464011
376,patong,7.8961,98.2966,30.57,86,100,2.13,TH,1731464012
377,cangucu,-31.395,-52.6756,10.57,76,68,0.25,BR,1731464015
378,uryupinsk,50.8047,42.0138,1.45,83,42,1.62,RU,1731464016
379,nabire,-3.3667,135.4833,27.42,76,78,0.89,ID,1731464017
380,kangding,30.0513,101.9603,13.51,43,0,1.16,CN,1731464018
381,pacific grove,36.6177,-121.9166,12.03,90,11,0.45,US,1731463910
382,oranjestad,12.524,-70.027,27.97,85,20,1.54,AW,1731464020
383,warud,21.4667,78.2667,19.91,54,2,1.79,IN,1731464022
384,labrador city,52.9463,-66.9114,-9.34,73,7,4.47,CA,1731464023
385,bandar-e genaveh,29.5791,50.517,24.78,60,92,6.23,IR,1731464024
386,sitka,57.0531,-135.33,5.94,87,100,0.0,US,1731464025
387,brownsville,25.9018,-97.4975,22.99,75,0,2.06,US,1731463858
388,letpandan,17.7833,95.75,25.5,83,14,2.51,MM,1731464028
389,fale old settlement,-9.3852,-171.2468,28.42,75,11,6.33,TK,1731464030
390,kismayo,-0.3582,42.5454,26.34,80,76,1.73,SO,1731464031
391,la sarre,48.8002,-79.1996,-3.84,90,28,1.35,CA,1731464032
392,hengchun,22.0042,120.7439,27.2,78,100,9.83,TW,1731464033
393,jining,35.405,116.5814,16.01,85,100,2.85,CN,1731464034
394,corner brook,48.9667,-57.9484,5.8,98,100,1.56,CA,1731463956
395,mirabad,30.4362,61.8383,16.79,33,23,0.89,AF,1731463873
396,ariquemes,-9.9133,-63.0408,22.84,98,100,1.7,BR,1731464039
397,tura,25.5198,90.2201,22.36,73,2,1.2,IN,1731464040
398,quellon,-43.1167,-73.6167,9.64,93,75,2.48,CL,1731464041
399,umm kaddadah,13.6017,26.6876,22.19,19,0,6.37,SD,1731464042
400,ust'-kut,56.7938,105.7672,-11.53,87,41,1.68,RU,1731464043
401,borujen,31.9652,51.2873,6.57,77,0,1.91,IR,1731464044
402,foumban,5.7291,10.9001,20.03,63,75,0.95,CM,1731464045
403,leava,-14.3,-178.1667,27.92,77,100,6.71,WF,1731464047
404,coquimbo,-29.9533,-71.3436,14.85,94,100,3.6,CL,1731464048
405,metahara,8.9,39.9167,19.84,53,2,0.8,ET,1731464049
406,ulsteinvik,62.3432,5.8487,13.2,83,100,5.36,NO,1731464050
407,karatas,36.582,35.3701,18.28,74,16,3.76,TR,1731464051
408,portland,45.5234,-122.6762,10.6,93,100,3.58,US,1731463901
409,inarajan village,13.2736,144.7484,29.54,83,100,17.18,GU,1731464053
410,beira,-19.8436,34.8389,26.05,89,40,1.41,MZ,1731464054
411,villa ocampo,-28.4875,-59.3551,16.27,39,0,2.29,AR,1731464056
412,maputo,-25.9653,32.5892,20.14,94,12,2.79,MZ,1731464057
413,banda aceh,5.5577,95.3222,28.04,70,100,1.71,ID,1731464058
414,baturaja,-4.1333,104.1667,27.85,83,96,1.19,ID,1731464059
415,neiafu,-18.65,-173.9833,27.38,78,75,5.66,TO,1731464060
416,tabou,4.423,-7.3528,25.21,87,93,0.81,CI,1731464061
417,konstantinovsk,47.5828,41.0922,0.19,78,15,3.14,RU,1731464062
418,sinjai,-5.1241,120.253,30.66,60,69,3.79,ID,1731464063
419,sadjoavato,-12.6334,49.349,21.59,89,45,2.56,MG,1731464065
420,backa palanka,45.2508,19.3919,5.87,60,100,1.64,RS,1731464066
421,kimbe,-5.5502,150.1429,30.64,70,46,2.27,PG,1731464067
422,dongola,19.1667,30.4833,20.09,25,6,5.2,SD,1731464068
423,garbahaarrey,3.3289,42.2209,26.18,74,100,4.05,SO,1731464069
424,laojunmiao,39.8333,97.7333,4.74,49,1,2.6,CN,1731464070
425,kalmunai,7.4167,81.8167,27.31,79,3,3.13,LK,1731464071
426,wuyishan,28.0047,117.8114,24.72,68,5,1.17,CN,1731464074
427,oroqen zizhiqi,50.5667,123.7167,-4.29,59,99,1.14,CN,1731464075
428,morehead city,34.7229,-76.726,14.46,72,0,5.36,US,1731464076
429,marka,1.7159,44.7717,25.91,84,14,3.04,SO,1731464077
430,williams lake,52.1415,-122.1445,4.76,84,75,2.57,CA,1731464078
431,sinop,41.7711,34.8709,9.0,83,100,2.21,TR,1731464079
432,igarka,67.4667,86.5833,-22.39,98,98,1.93,RU,1731464080
433,keila,59.3036,24.4131,4.01,100,100,2.57,EE,1731464082
434,forster,-32.1667,152.5167,22.99,81,88,4.0,AU,1731464083
435,vero beach,27.6386,-80.3973,25.59,89,100,3.6,US,1731463919
436,jiexiu,37.0244,111.9125,12.22,90,100,0.78,CN,1731463816
437,lamu,-2.2717,40.902,26.1,85,71,2.97,KE,1731464086
438,geraldton,-28.7667,114.6,29.23,34,100,5.66,AU,1731464087
439,ketchikan,55.3422,-131.6461,7.26,87,100,2.06,US,1731464088
440,at turrah,32.6414,35.9919,14.54,86,0,0.29,JO,1731464089
441,broome,42.2506,-75.833,0.92,81,20,3.09,US,1731464090
442,sao gabriel da cachoeira,-0.1303,-67.0892,26.23,75,54,0.75,BR,1731464092
443,sibolga,1.7427,98.7792,27.28,78,100,0.46,ID,1731464094
444,olyokminsk,60.3736,120.4264,-13.52,86,62,0.77,RU,1731464095
445,kyshtovka,56.555,76.6271,-11.33,94,100,3.52,RU,1731464096
446,lefkada,38.8275,20.7019,14.95,88,75,5.66,GR,1731464097
447,ofunato,39.0717,141.7167,11.41,52,49,1.51,JP,1731464098
448,richfield,44.8833,-93.283,5.75,78,20,8.23,US,1731464100
449,palikir - national government center,6.9248,158.1611,28.63,73,100,5.61,FM,1731464101
450,hobyo,5.3505,48.5268,26.41,81,29,6.5,SO,1731464102
451,los llanos de aridane,28.6585,-17.9182,17.86,84,0,4.12,ES,1731464103
452,lieksa,63.3167,30.0167,1.56,89,98,5.39,FI,1731464104
453,sambava,-14.2667,50.1667,23.18,85,44,3.88,MG,1731463956
454,mount pleasant,32.7941,-79.8626,17.21,88,0,2.57,US,1731464079
455,khromtau,50.2503,58.4347,-5.97,91,88,8.51,KZ,1731464108
456,tocopilla,-22.092,-70.1979,17.74,74,21,0.83,CL,1731464109
457,baringo,0.4667,35.9667,20.18,65,52,2.37,KE,1731464110
458,makungu,-8.7333,35.2833,16.36,88,0,0.56,TZ,1731464111
459,itaituba,-4.2761,-55.9836,27.95,65,100,1.04,BR,1731464112
460,skvyra,49.7318,29.6657,-1.71,90,11,2.53,UA,1731464113
461,zuera,41.8677,-0.7898,8.38,84,97,2.05,ES,1731464114
462,arraial do cabo,-22.9661,-42.0278,21.92,100,40,8.23,BR,1731464007
463,jatoba,-9.1831,-38.2689,24.69,71,1,4.84,BR,1731464116
464,playa del ingles,27.7567,-15.5787,19.86,78,0,3.16,ES,1731464118
465,novogornyy,55.63,60.7919,-3.6,88,99,3.91,RU,1731464119
466,kuta,-8.7233,115.1723,30.97,79,20,4.63,ID,1731464120
467,okhotsk,59.3833,143.3,-14.14,66,12,8.03,RU,1731464121
468,an nuhud,12.7,28.4333,22.62,23,0,6.42,SD,1731464122
469,kushnarenkovo,55.105,55.3508,-1.86,97,100,4.43,RU,1731464123
470,ciudad lazaro cardenas,17.9583,-102.2,26.25,79,99,1.79,MX,1731463892
471,tindouf,27.6711,-8.1474,16.25,63,20,3.09,DZ,1731464126
472,vetluga,57.8557,45.781,-1.63,91,89,2.26,RU,1731464127
473,ishigaki,24.3448,124.1572,26.77,83,91,6.99,JP,1731464128
474,karpinsk,59.7654,60.0085,-11.14,99,87,0.52,RU,1731464129
475,barah,13.7,30.3667,23.78,32,0,6.05,SD,1731464130
476,sao joao dos patos,-6.495,-43.7022,22.87,82,91,1.25,BR,1731464131
477,arawa,-6.2132,155.5367,29.55,76,53,1.19,PG,1731464132
478,sanford,28.8006,-81.2731,23.52,79,0,4.12,US,1731463973
479,pyin oo lwin,22.0333,96.4667,19.43,88,47,0.78,MM,1731464135
480,dickinson,29.4608,-95.0513,21.1,79,0,0.0,US,1731464136
481,tanabe,33.7333,135.3667,21.56,52,20,3.6,JP,1731464137
482,impfondo,1.6381,18.0667,21.89,90,94,1.14,CG,1731464138
483,prince rupert,54.3161,-130.3201,7.83,85,100,5.14,CA,1731464139
484,punta del este,-34.9667,-54.95,14.37,71,0,3.09,UY,1731464140
485,carutapera,-1.195,-46.02,25.22,82,100,2.55,BR,1731464141
486,khorinsk,52.1657,109.7726,-5.49,74,69,3.37,RU,1731464142
487,bandarbeyla,9.4942,50.8122,25.25,75,2,7.59,SO,1731464143
488,fisterra,42.9049,-9.2629,13.63,71,3,11.98,ES,1731464145
489,sattahip,12.6664,100.9007,30.05,66,20,3.6,TH,1731464146
490,shevchenko,48.5,35.0,0.76,77,93,2.68,UA,1731464147
491,sao felix do xingu,-6.6447,-51.995,22.4,96,22,0.69,BR,1731464148
492,sisimiut,66.9395,-53.6735,-4.03,72,100,9.12,GL,1731464149
493,chamzinka,54.4019,45.7839,-1.85,83,100,4.95,RU,1731464150
494,lubango,-14.9172,13.4925,16.62,85,100,1.07,AO,1731464151
495,erie,42.7667,-78.6664,1.25,82,2,1.26,US,1731464154
496,burang,30.25,81.1667,-2.0,50,0,2.1,CN,1731464155
497,mahina,-17.5065,-149.489,28.87,61,100,3.09,PF,1731464156
498,pauls valley,34.7401,-97.2223,15.79,67,0,1.54,US,1731464157
499,emerald,-23.5333,148.1667,33.52,42,91,3.32,AU,1731464158
500,broadstairs,51.3591,1.4394,10.88,70,100,0.45,GB,1731464159
501,winnemucca,40.973,-117.7357,0.03,74,0,3.09,US,1731464161
502,hecun,36.5333,114.1111,12.55,92,100,0.63,CN,1731464162
503,giyani,-23.3025,30.7187,19.05,93,100,1.37,ZA,1731464163
504,porto novo,6.4965,2.6036,25.68,85,60,1.13,BJ,1731464164
505,dedenevo,56.25,37.5167,0.58,84,100,2.3,RU,1731464165
506,krasnokamensk,50.0979,118.0369,-0.85,48,11,1.69,RU,1731464166
507,goz beida,13.95,20.55,23.11,20,0,3.11,TD,1731464167
508,yishui,35.7847,118.6281,14.62,92,100,0.55,CN,1731464168
509,dudinka,69.4058,86.1778,-24.93,97,100,3.36,RU,1731464170
510,xilin hot,43.9667,116.0333,5.33,56,51,6.17,CN,1731464171
511,maintirano,-18.0667,44.0167,26.0,78,100,2.33,MG,1731464172
512,port-vila,-17.7338,168.3219,30.78,58,75,6.17,VU,1731464173
513,puerto aysen,-45.4,-72.7,9.79,100,100,2.52,CL,1731464072
514,tomohon,1.3346,124.8392,27.52,63,99,0.6,ID,1731464175
515,kodinsk,58.6881,99.1844,-10.65,86,100,4.47,RU,1731464176
516,krasnoarmeysk,51.0239,45.6969,-2.35,92,32,3.31,RU,1731464177
517,glencoe,-28.1783,30.147,11.96,84,4,1.17,ZA,1731464179
518,mayma,52.0197,85.9114,-9.42,89,100,0.66,RU,1731464180
519,freeport,40.6576,-73.5832,7.23,49,0,6.69,US,1731464182
520,vic-en-bigorre,43.3833,0.05,3.26,95,27,1.58,FR,1731464183
521,paidha,2.4167,30.9855,16.25,82,59,1.98,UG,1731464184
522,aldinga beach,-35.2793,138.4604,20.04,62,12,6.21,AU,1731464185
523,sungai penuh,-2.0833,101.3833,20.77,90,100,1.27,ID,1731464186
524,kitimat,54.0524,-128.6534,5.51,29,100,1.34,CA,1731464189
525,yorkton,51.2167,-102.4677,3.91,93,100,3.09,CA,1731464190
526,surgut,61.25,73.4167,-25.9,84,0,1.0,RU,1731464191
527,paimio,60.4567,22.6869,4.63,94,45,0.45,FI,1731464192
528,argo,37.6333,22.7333,14.12,90,100,1.02,GR,1731464193
529,tidjikja,18.5564,-11.4271,22.58,17,1,3.3,MR,1731464194
530,laayoune,27.1622,-13.2032,16.19,100,0,1.54,EH,1731464034
531,chu,43.5983,73.7614,4.54,92,100,2.54,KZ,1731464196
532,yei,4.095,30.6779,19.14,95,100,0.7,SS,1731464198
533,boende,-0.2167,20.8667,21.52,94,48,0.67,CD,1731464199
534,tbeng meanchey,13.8167,104.9667,27.28,77,94,0.39,KH,1731464200
535,antalaha,-14.9003,50.2788,24.96,70,89,3.33,MG,1731464201
536,divrigi,39.371,38.1137,5.07,78,5,0.31,TR,1731464202
537,dabeiba,7.0017,-76.2672,20.81,98,100,0.85,CO,1731464203
538,midvagur,62.0511,-7.1939,9.46,76,100,13.38,FO,1731464204
539,shakawe,-18.3667,21.85,22.17,69,66,1.57,BW,1731464205
540,napili-honokowai,20.9708,-156.6705,27.64,85,58,9.55,US,1731464206
541,lyepyel',54.8814,28.6932,-0.41,91,44,1.72,BY,1731464208
542,manokwari,-0.8667,134.0833,28.79,70,40,2.64,ID,1731464209
543,flin flon,54.7682,-101.865,3.06,77,100,3.5,CA,1731464210
544,robertsport,6.7533,-11.3686,26.44,81,82,4.02,LR,1731464211
545,heber springs,35.4915,-92.0313,10.63,72,33,2.38,US,1731464212
546,cannonvale,-20.2833,148.7,27.66,61,38,4.29,AU,1731464213
547,hatillo,18.4863,-66.8254,25.06,87,25,3.25,PR,1731464214
548,mugia,43.1041,-9.2179,11.62,74,4,12.42,ES,1731464216
549,las khorey,11.1595,48.1967,25.34,71,43,2.4,SO,1731464217
550,tonj,7.2737,28.6822,23.04,80,58,0.81,SS,1731464218
551,rabaul,-4.1967,152.1721,28.8,71,81,1.91,PG,1731464219
552,buka,40.8108,69.1986,8.28,88,100,0.31,UZ,1731464220
553,fauske,67.2588,15.3918,8.86,92,100,4.29,NO,1731464221
554,tughyl,47.7252,84.2063,-3.38,69,100,0.15,KZ,1731464222
555,soio,-6.1349,12.3689,25.72,90,82,4.86,AO,1731464224
556,boromo,11.75,-2.9333,24.42,32,59,1.86,BF,1731464225
557,kone,-21.0595,164.8658,31.96,44,57,1.83,NC,1731464226
558,mwene-ditu,-7.0,23.45,17.94,95,94,1.98,CD,1731464227
559,paghman,34.5875,68.9533,1.92,37,29,0.86,AF,1731464228
560,reggane,26.7158,0.1714,20.96,36,86,2.81,DZ,1731464229
561,zhalantun,48.0,122.7167,-0.77,50,4,2.04,CN,1731464230
562,larache,35.1932,-6.1557,16.8,75,6,3.41,MA,1731464232
563,greenville,35.6127,-77.3663,11.75,69,0,0.89,US,1731464233
564,pangody,65.85,74.4859,-16.57,97,99,3.19,RU,1731464234
565,wenatchee,47.4235,-120.3103,9.66,71,100,1.55,US,1731464228
566,karasburg,-28.0167,18.75,16.13,35,0,2.35,NA,1731464236
567,viedma,-40.8135,-62.9967,14.03,44,63,2.48,AR,1731464030
568,shenjiamen,29.9576,122.298,20.29,72,100,3.28,CN,1731463949
569,kingscliff,-28.2667,153.5667,25.89,83,100,5.66,AU,1731464239
